StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,"Q1 ",Q2,Q3,QID49,QID50,QID51,QID52,QID54,QID55,QID71,QID56,QID57,QID58,QID59,QID60,QID61,QID62,QID63,QID64,QID65,QID72,QID66,QID67,QID68," "
2024-02-28 16:16:21,2024-02-28 16:18:24,IP Address,103.26.225.7,100,122,True,2024-02-28 16:18:25,R_42RqnI08bArxAfK,,,,,19.0748,72.8856,anonymous,EN,Male,24-29,3,,,,,,,,,,,,Garlic Bread,Sun-Kissed Veggie Pasta Salad,Classic Tomato Soup,Mediterranean Veggie Sandwich,The Almond Butter Açaí Bowl,Iced Latte,Whiskey Sour,Original New York Style Pizza,Creamy Crispy Pancetta & Aged Parmesan Pasta,Cold Noodles,Chocolate Mousse with Vanilla Ice-cream
2024-02-28 16:15:22,2024-02-28 16:18:43,IP Address,107.119.65.101,100,201,True,2024-02-28 16:18:44,R_5ewXHtYBhqqM38U,,,,,35.2345,-89.8502,anonymous,EN,Female,24-29,3,,,,,,,,,,,,Dumplings,Caesar Salad,Classic Tomato Soup,Original Grilled Chicken Sandwich,Original Berry Açaí,Iced Latte,Mojito,Original New York Style Pizza,One-Pan Chicken Alfredo Penne,Classic Ramen Noodles,Lemon Pudding
2024-02-28 16:21:40,2024-02-28 16:25:08,IP Address,31.205.98.204,100,208,True,2024-02-28 16:25:09,R_25A58wnBosQvqIp,,,,,51.5088,-0.093,anonymous,EN,Female,24-29,3,Dumplings,Pasta Salad,Slow-Cooker Vegetable Soup,Classic Shawarma Wrap,Tropical Mango Açaí,Iced Latte,Whiskey Sour,Margherita,Gnocchi Tomato Sauce,Classic Ramen Noodles,Chocolate Mousse with Vanilla Ice-cream,,,,,,,,,,,
2024-02-28 16:23:46,2024-02-28 16:26:22,IP Address,152.58.1.68,100,156,True,2024-02-28 16:26:23,R_4io139jFqpnCm4h,,,,,19.0748,72.8856,anonymous,EN,Male,18-23,4,Garlic Bread,Pasta Salad,Classic Tomato Soup,Classic Shawarma Wrap,Tropical Mango Açaí,Iced Latte,Mojito,Original New York Style Pizza,Traditional Macaroni & Cheese,Fried Noodles,Mini New York Cheesecake,,,,,,,,,,,
2024-02-28 16:26:27,2024-02-28 16:27:43,IP Address,31.205.79.52,100,76,True,2024-02-28 16:27:43,R_7Hht92faeT7eqHf,,,,,51.5573,-0.2971,anonymous,EN,Male,24-29,4,,,,,,,,,,,,Garlic Bread,Classic Potato Salad,Rustic Farmstand Veggie Soup,Bacon Lettuce Tomato Wrap,Tropical Mango Açaí,Iced Matcha,Whiskey Sour,Pepperoni & Cheese Pizza,Pesto Pasta,Staple Pad Thai Noodles,Chocolate Mousse with Vanilla Ice-cream
2024-02-28 16:27:48,2024-02-28 16:30:17,IP Address,118.139.81.109,100,149,True,2024-02-28 16:30:17,R_4G7xLQ7aE7dqAwh,,,,,-37.9189,145.126,anonymous,EN,Male,18-23,3,Garlic Bread,Caesar Salad,Broccoli Cheddar Soup,Classic Shawarma Wrap,Original Berry Açaí,Traditional Vietnamese Coffee,Mojito,Margherita,One-Pan Chicken Alfredo Penne,Fried Noodles,Classic Tiramisu,,,,,,,,,,,
2024-02-28 16:32:12,2024-02-28 16:33:47,IP Address,110.235.219.110,100,94,True,2024-02-28 16:33:47,R_4YFX6TXxpJSRSWg,,,,,26.9525,75.7105,anonymous,EN,Male,18-23,3,Bruschetta,Caesar Salad,Classic Tomato Soup,Grilled Cheese,The Almond Butter Açaí Bowl,Black Coffee,Espresso Martini,Pepperoni & Cheese Pizza,Spaghetti Carbonara,Fried Noodles,Classic Tiramisu,,,,,,,,,,,
2024-02-28 16:33:28,2024-02-28 16:35:47,IP Address,70.132.238.19,100,139,True,2024-02-28 16:35:48,R_5eVxbmUn9Gh8Bkg,,,,,39.7764,-86.1077,anonymous,EN,Female,24-29,3,,,,,,,,,,,,Dumplings,Kale Salad with Cranberries,Bistro French Onion Soup,Classic Shawarma Wrap,Tropical Mango Açaí,Traditional Vietnamese Coffee,Whiskey Sour,"Authentic Fresh Basil, Mozzarella, & Tomato Sauce",Pesto Pasta,Staple Pad Thai Noodles,Velvety Mini Cheesecake with a Graham Cracker Crust
2024-02-28 16:32:49,2024-02-28 16:36:56,IP Address,144.62.152.179,100,247,True,2024-02-28 16:36:57,R_6I6HAGKfR9QHPKP,,,,,40.6877,-73.9267,anonymous,EN,Male,24-29,3,Dumplings,Pasta Salad,Classic Tomato Soup,Grilled Cheese,Tropical Mango Açaí,Iced Latte,Espresso Martini,Margherita,Traditional Macaroni & Cheese,Fried Noodles,Biscoff Banana Pudding,,,,,,,,,,,
2024-02-28 16:36:01,2024-02-28 16:39:19,IP Address,50.5.203.63,100,198,True,2024-02-28 16:39:20,R_3QopHcuzuYGco2n,,,,,39.0385,-84.5456,anonymous,EN,Male,18-23,4,,,,,,,,,,,,Garlic Bread,Sun-Kissed Veggie Pasta Salad,Classic Tomato Soup,Mediterranean Veggie Sandwich,Tropical Mango Açaí,Iced Latte,Mojito,"Authentic Fresh Basil, Mozzarella, & Tomato Sauce",Traditional Macaroni & Cheese,Crispy Stir-Fried Noodles with Soy Glaze,Chocolate Mousse with Vanilla Ice-cream
2024-02-28 16:38:38,2024-02-28 16:42:42,IP Address,24.61.200.153,100,243,True,2024-02-28 16:42:42,R_3xQhrblFYXrZtBL,,,,,42.3474,-71.1582,anonymous,EN,Female,24-29,3,Garlic Bread,Pasta Salad,Slow-Cooker Vegetable Soup,Classic Shawarma Wrap,Original Berry Açaí,Macchiato Iced Coffee,Dry Martini,Original New York Style Pizza,Spaghetti Carbonara,Classic Ramen Noodles,Mini New York Cheesecake,,,,,,,,,,,
2024-02-28 16:42:12,2024-02-28 16:44:29,IP Address,172.56.197.195,100,136,True,2024-02-28 16:44:29,R_3jZE4rBe58Pr0Tj,,,,,42.3531,-71.0958,anonymous,EN,Male,18-23,4,Bruschetta,Pasta Salad,Broccoli Cheddar Soup,Grilled Cheese,Original Berry Açaí,Traditional Vietnamese Coffee,Mojito,Margherita,Traditional Macaroni & Cheese,Fried Noodles,Chocolate Mousse with Vanilla Ice-cream,,,,,,,,,,,
2024-02-28 16:46:59,2024-02-28 16:50:00,IP Address,31.205.87.232,100,181,True,2024-02-28 16:50:01,R_2lVTFSDBBqDrKqb,,,,,50.7153,-1.8719,anonymous,EN,Male,18-23,1,,,,,,,,,,,,Dumplings,Sun-Kissed Veggie Pasta Salad,Bistro French Onion Soup,Classic Shawarma Wrap,Tropical Mango Açaí,Macchiato Iced Coffee,Whiskey Sour,Original New York Style Pizza,Traditional Macaroni & Cheese,Classic Ramen Noodles,Classic Tiramisu
2024-02-28 16:52:06,2024-02-28 16:54:06,IP Address,80.78.188.170,100,119,True,2024-02-28 16:54:06,R_27UPxSjl5fQbymM,,,,,52.8375,13.8284,anonymous,EN,Male,18-23,4,Dumplings,Caesar Salad,Classic Tomato Soup,Original Grilled Chicken Sandwich,Original Berry Açaí,Iced Latte,Negroni,Original New York Style Pizza,One-Pan Chicken Alfredo Penne,Staple Pad Thai Noodles,Classic Tiramisu,,,,,,,,,,,
2024-02-28 16:42:32,2024-02-28 16:57:03,IP Address,172.59.136.16,100,870,True,2024-02-28 16:57:03,R_6SLijfYMhe3kTeN,,,,,40.4339,-79.9996,anonymous,EN,Male,18-23,2,Bruschetta,Caesar Salad,Slow-Cooker Vegetable Soup,Original Grilled Chicken Sandwich,Original Berry Açaí,Iced Latte,Espresso Martini,Margherita,One-Pan Chicken Alfredo Penne,Classic Ramen Noodles,Mini New York Cheesecake,,,,,,,,,,,
2024-02-28 16:58:08,2024-02-28 17:01:14,IP Address,128.197.29.254,100,185,True,2024-02-28 17:01:14,R_6gevmh5LgdgVfTC,,,,,42.3464,-71.0975,anonymous,EN,Female,24-29,4,,,,,,,,,,,,Dumplings,Caesar Salad,Classic Tomato Soup,Mediterranean Veggie Sandwich,Peanut Butter & Jam Açaí,Iced Matcha,Espresso Martini,Original New York Style Pizza,Gnocchi Tomato Sauce,Classic Ramen Noodles,Classic Tiramisu
2024-02-28 16:58:17,2024-02-28 17:01:18,IP Address,128.197.29.239,100,180,True,2024-02-28 17:01:18,R_5ytYjs0g4XY51Gp,,,,,42.3464,-71.0975,anonymous,EN,Female,18-23,5,Bruschetta,Caesar Salad,Broccoli Cheddar Soup,Classic Shawarma Wrap,Tropical Mango Açaí,Iced Latte,Espresso Martini,Original New York Style Pizza,One-Pan Chicken Alfredo Penne,Staple Pad Thai Noodles,Chocolate Mousse with Vanilla Ice-cream,,,,,,,,,,,
2024-02-28 17:00:27,2024-02-28 17:02:12,IP Address,128.197.29.234,100,104,True,2024-02-28 17:02:12,R_6SrwnQghWIg1CvW,,,,,42.3464,-71.0975,anonymous,EN,Male,24-29,3,Garlic Bread,Classic Potato Salad,Bistro French Onion Soup,Original Grilled Chicken Sandwich,Tropical Mango Açaí,Iced Matcha,Espresso Martini,Barbecue Chicken Pizza,Spaghetti Carbonara,Classic Ramen Noodles,Classic Tiramisu,,,,,,,,,,,
2024-02-28 16:39:49,2024-02-28 17:03:32,IP Address,73.38.60.245,100,1422,True,2024-02-28 17:03:32,R_3g59muzE97hYtXP,,,,,42.3388,-71.0726,anonymous,EN,Male,18-23,5,,,,,,,,,,,,Cherry Tomato & Basil Crostini,Classic Potato Salad,Bistro French Onion Soup,Golden Crisp Grilled Cheese Delight,Tropical Mango Açaí,Traditional Vietnamese Coffee,Espresso Martini,"Authentic Fresh Basil, Mozzarella, & Tomato Sauce",Gnocchi Tomato Sauce,Classic Ramen Noodles,Biscoff Banana Pudding
2024-02-28 16:59:13,2024-02-28 17:05:01,IP Address,128.197.29.247,100,347,True,2024-02-28 17:05:02,R_3PZgFUyRO5R6Otr,,,,,42.3464,-71.0975,anonymous,EN,Female,24-29,3,Garlic Bread,Kale Salad with Cranberries,Broccoli Cheddar Soup,Classic Shawarma Wrap,Original Berry Açaí,Traditional Vietnamese Coffee,Mojito,Hawaiian Pizza,Pesto Pasta,Classic Ramen Noodles,Chocolate Mousse with Vanilla Ice-cream,,,,,,,,,,,
2024-02-28 17:03:59,2024-02-28 17:05:18,IP Address,73.38.60.245,100,79,True,2024-02-28 17:05:19,R_7CP6RggUwtMlAun,,,,,42.3388,-71.0726,anonymous,EN,Male,18-23,5,Garlic Bread,Classic Potato Salad,Bistro French Onion Soup,Grilled Cheese,Tropical Mango Açaí,Traditional Vietnamese Coffee,Espresso Martini,Original New York Style Pizza,Gnocchi Tomato Sauce,Classic Ramen Noodles,Biscoff Banana Pudding,,,,,,,,,,,
2024-02-28 17:06:56,2024-02-28 17:08:50,IP Address,76.28.85.61,100,114,True,2024-02-28 17:08:51,R_13m74U7lGgnaHnj,,,,,42.3399,-71.1245,anonymous,EN,Male,18-23,5,,,,,,,,,,,,Dumplings,Sun-Kissed Veggie Pasta Salad,Bistro French Onion Soup,Original Grilled Chicken Sandwich,Peanut Butter & Jam Açaí,Iced Latte,Whiskey Sour,Barbecue Chicken Pizza,Creamy Crispy Pancetta & Aged Parmesan Pasta,Staple Pad Thai Noodles,Classic Tiramisu
2024-02-28 17:07:26,2024-02-28 17:10:14,IP Address,172.58.219.103,100,168,True,2024-02-28 17:10:15,R_6qVzCgDZxbcIgQY,,,,,42.3562,-71.0631,anonymous,EN,Female,18-23,2,,,,,,,,,,,,Dumplings,Classic Potato Salad,Bistro French Onion Soup,Classic Shawarma Wrap,Tropical Mango Açaí,Macchiato Iced Coffee,Whiskey Sour,Original New York Style Pizza,Creamy Crispy Pancetta & Aged Parmesan Pasta,Staple Pad Thai Noodles,Velvety Mini Cheesecake with a Graham Cracker Crust
2024-02-28 17:11:56,2024-02-28 17:19:07,IP Address,172.56.199.7,100,430,True,2024-02-28 17:19:07,R_6zhY6PixWFVt5sS,,,,,42.415,-71.0527,anonymous,EN,Male,18-23,2,,,,,,,,,,,,Dumplings,Caesar Salad,Bistro French Onion Soup,Classic Shawarma Wrap,Original Berry Açaí,Macchiato Iced Coffee,Mojito,Original New York Style Pizza,One-Pan Chicken Alfredo Penne,Classic Ramen Noodles,Classic Tiramisu
2024-02-28 17:15:27,2024-02-28 17:20:24,IP Address,71.235.135.182,100,297,True,2024-02-28 17:20:25,R_1SAY9fNFYEdAEkZ,,,,,42.3399,-71.1245,anonymous,EN,Female,24-29,3,Dumplings,Pasta Salad,Classic Tomato Soup,Bacon Lettuce Tomato Wrap,Tropical Mango Açaí,Traditional Vietnamese Coffee,Mojito,Hawaiian Pizza,Spaghetti Carbonara,Staple Pad Thai Noodles,Mini New York Cheesecake,,,,,,,,,,,
2024-02-28 17:18:00,2024-02-28 17:20:36,IP Address,73.68.2.182,100,155,True,2024-02-28 17:20:36,R_30rbz4jpl8zkaEM,,,,,42.3498,-71.0765,anonymous,EN,Female,24-29,3,Garlic Bread,Pasta Salad,Classic Tomato Soup,Mediterranean Veggie Sandwich,Original Berry Açaí,Traditional Vietnamese Coffee,Whiskey Sour,Hawaiian Pizza,Pesto Pasta,Classic Ramen Noodles,Chocolate Mousse with Vanilla Ice-cream,,,,,,,,,,,
2024-02-28 17:17:45,2024-02-28 17:22:49,IP Address,172.59.213.214,100,303,True,2024-02-28 17:22:49,R_1erzyrqWpFo6ccz,,,,,40.7119,-74.2203,anonymous,EN,Male,24-29,3,,,,,,,,,,,,Dumplings,Sun-Kissed Veggie Pasta Salad,Bistro French Onion Soup,Classic Shawarma Wrap,Tropical Mango Açaí,Macchiato Iced Coffee,Negroni,"Authentic Fresh Basil, Mozzarella, & Tomato Sauce",Creamy Crispy Pancetta & Aged Parmesan Pasta,Staple Pad Thai Noodles,Biscoff Banana Pudding
2024-02-28 17:22:17,2024-02-28 17:23:12,IP Address,71.235.135.182,100,55,True,2024-02-28 17:23:13,R_7WIuXpNC0wkzgnk,,,,,42.3399,-71.1245,anonymous,EN,Female,24-29,3,Stuffed Capsicum,Tomato Couscous Salad,Broccoli Cheddar Soup,Classic Shawarma Wrap,The Almond Butter Açaí Bowl,Macchiato Iced Coffee,Espresso Martini,Pepperoni & Cheese Pizza,Spaghetti Carbonara,Eggplant Noodles,Lemon Pudding,,,,,,,,,,,
2024-02-28 17:21:51,2024-02-28 17:23:54,IP Address,73.89.159.184,100,122,True,2024-02-28 17:23:54,R_1jeoSwoNsG88txI,,,,,42.2506,-71.1286,anonymous,EN,Female,18-23,3,Dumplings,Pasta Salad,Classic Tomato Soup,Classic Shawarma Wrap,Green Smoothie Bowl,Iced Latte,Espresso Martini,Pepperoni & Cheese Pizza,Pesto Pasta,Classic Ramen Noodles,Mini New York Cheesecake,,,,,,,,,,,
2024-02-28 17:24:33,2024-02-28 17:26:00,IP Address,49.37.24.182,100,86,True,2024-02-28 17:26:01,R_4WrcdlFEvdnz4sN,,,,,23.6679,86.1565,anonymous,EN,Female,24-29,5,,,,,,,,,,,,Classic Humus,Kale Salad with Cranberries,Broccoli Cheddar Soup,Mediterranean Veggie Sandwich,The Almond Butter Açaí Bowl,Bold Awakening Black Coffee,Espresso Martini,Barbecue Chicken Pizza,Creamy Crispy Pancetta & Aged Parmesan Pasta,Eggplant Noodles,Velvety Mini Cheesecake with a Graham Cracker Crust
2024-02-28 17:26:24,2024-02-28 17:28:07,IP Address,108.48.11.51,100,103,True,2024-02-28 17:28:08,R_1dLycaqOBikW9xF,,,,,38.9841,-77.3672,anonymous,EN,Male,24-29,4,Garlic Bread,Pasta Salad,Broccoli Cheddar Soup,Original Grilled Chicken Sandwich,Tropical Mango Açaí,Macchiato Iced Coffee,Whiskey Sour,Barbecue Chicken Pizza,Spaghetti Carbonara,Staple Pad Thai Noodles,Mini New York Cheesecake,,,,,,,,,,,
2024-02-28 17:27:16,2024-02-28 17:29:33,IP Address,128.197.29.238,100,136,True,2024-02-28 17:29:33,R_7xLw7yNFpif6SuB,,,,,42.3464,-71.0975,anonymous,EN,Female,24-29,3,Bruschetta,Caesar Salad,Broccoli Cheddar Soup,Classic Shawarma Wrap,Tropical Mango Açaí,Iced Latte,Mojito,Margherita,Pesto Pasta,Fried Noodles,Chocolate Mousse with Vanilla Ice-cream,,,,,,,,,,,
2024-02-28 16:32:26,2024-02-28 17:46:52,IP Address,155.33.134.43,100,4466,True,2024-02-28 17:46:53,R_7qSRHkeWcKXFURz,,,,,42.3531,-71.0958,anonymous,EN,Male,24-29,3,Classic Humus,Tomato Couscous Salad,Classic Tomato Soup,Mediterranean Veggie Sandwich,Original Berry Açaí,Iced Latte,Espresso Martini,Original New York Style Pizza,Pesto Pasta,Fried Noodles,Biscoff Banana Pudding,,,,,,,,,,,
2024-02-28 17:57:42,2024-02-28 18:02:23,IP Address,209.35.80.0,100,281,True,2024-02-28 18:02:24,R_4HpXE5yJrS4t9XX,,,,,53.4729,-2.2908,anonymous,EN,Male,24-29,3,,,,,,,,,,,,Dumplings,Classic Potato Salad,Classic Tomato Soup,Golden Crisp Grilled Cheese Delight,Peanut Butter & Jam Açaí,Macchiato Iced Coffee,Dry Martini,Original New York Style Pizza,Creamy Crispy Pancetta & Aged Parmesan Pasta,Eggplant Noodles,Velvety Mini Cheesecake with a Graham Cracker Crust
2024-02-28 18:09:54,2024-02-28 18:11:30,IP Address,172.100.41.166,100,95,True,2024-02-28 18:11:30,R_66ky6BkajBbncfZ,,,,,42.9339,-78.8046,anonymous,EN,Male,18-23,4,Dumplings,Caesar Salad,Bistro French Onion Soup,Classic Shawarma Wrap,The Almond Butter Açaí Bowl,Iced Latte,Mojito,Original New York Style Pizza,One-Pan Chicken Alfredo Penne,Fried Noodles,Mini New York Cheesecake,,,,,,,,,,,
2024-02-28 18:10:42,2024-02-28 18:13:42,IP Address,42.105.234.150,100,179,True,2024-02-28 18:13:42,R_4gh9xTBbNYmQmgw,,,,,26.9525,75.7105,anonymous,EN,Female,18-23,1,,,,,,,,,,,,Garlic Bread,Sun-Kissed Veggie Pasta Salad,Classic Tomato Soup,Mediterranean Veggie Sandwich,The Almond Butter Açaí Bowl,Iced Matcha,Whiskey Sour,Pepperoni & Cheese Pizza,Pesto Pasta,Classic Ramen Noodles,Chocolate Mousse with Vanilla Ice-cream
2024-02-28 18:10:29,2024-02-28 18:16:42,IP Address,66.31.61.116,100,372,True,2024-02-28 18:16:42,R_1S8BSzlLYRf1ZDP,,,,,42.2904,-71.0712,anonymous,EN,Male,24-29,4,Bruschetta,Pasta Salad,Bistro French Onion Soup,Classic Shawarma Wrap,Tropical Mango Açaí,Iced Latte,Mojito,Barbecue Chicken Pizza,Spaghetti Carbonara,Staple Pad Thai Noodles,Classic Tiramisu,,,,,,,,,,,
2024-02-28 18:14:44,2024-02-28 18:17:38,IP Address,182.232.225.30,100,174,True,2024-02-28 18:17:39,R_4sY1Cz2CTJnXxo2,,,,,13.7442,100.4608,anonymous,EN,Female,24-29,5,,,,,,,,,,,,Dumplings,Caesar Salad,Bistro French Onion Soup,Original Grilled Chicken Sandwich,Tropical Mango Açaí,Iced Latte,Mojito,Pepperoni & Cheese Pizza,One-Pan Chicken Alfredo Penne,Staple Pad Thai Noodles,Chocolate Mousse with Vanilla Ice-cream
2024-02-28 18:18:22,2024-02-28 18:20:36,IP Address,73.100.116.245,100,134,True,2024-02-28 18:20:37,R_7G24Z2XI46RX9lA,,,,,42.2783,-71.1593,anonymous,EN,Male,18-23,4,Classic Humus,Classic Potato Salad,Classic Tomato Soup,Mediterranean Veggie Sandwich,Tropical Mango Açaí,Iced Latte,Mojito,Pepperoni & Cheese Pizza,Spaghetti Carbonara,Eggplant Noodles,Mini New York Cheesecake,,,,,,,,,,,
2024-02-28 18:26:12,2024-02-28 18:28:20,IP Address,49.43.24.76,100,128,True,2024-02-28 18:28:21,R_41tBodFD1xDnPOo,,,,,19.0748,72.8856,anonymous,EN,Female,18-23,3,Dumplings,Caesar Salad,Bistro French Onion Soup,Classic Shawarma Wrap,Tropical Mango Açaí,Iced Latte,Espresso Martini,Barbecue Chicken Pizza,Spaghetti Carbonara,Classic Ramen Noodles,Mini New York Cheesecake,,,,,,,,,,,
2024-02-28 18:27:17,2024-02-28 18:31:09,IP Address,110.226.177.179,100,231,True,2024-02-28 18:31:10,R_41db15zF5PxLg0F,,,,,19.0748,72.8856,anonymous,EN,Male,18-23,3,Classic Humus,Caesar Salad,Broccoli Cheddar Soup,Bacon Lettuce Tomato Wrap,Tropical Mango Açaí,Iced Matcha,Espresso Martini,Pepperoni & Cheese Pizza,Pesto Pasta,Classic Ramen Noodles,Mini New York Cheesecake,,,,,,,,,,,
2024-02-28 18:29:31,2024-02-28 18:32:48,IP Address,223.187.120.220,100,196,True,2024-02-28 18:32:48,R_4lmbqDK4II5erbb,,,,,12.8996,80.2209,anonymous,EN,Female,24-29,3,,,,,,,,,,,,Dumplings,Caesar Salad,Authentic Roasted Pumpkin Soup,Golden Crisp Grilled Cheese Delight,Peanut Butter & Jam Açaí,Iced Latte,Mojito,Pepperoni & Cheese Pizza,One-Pan Chicken Alfredo Penne,Staple Pad Thai Noodles,Chocolate Mousse with Vanilla Ice-cream
2024-02-28 18:31:33,2024-02-28 18:33:39,IP Address,131.239.33.193,100,125,True,2024-02-28 18:33:39,R_5BeoVJTxGAvkUZs,,,,,41.6489,-83.6015,anonymous,EN,Female,18-23,3,,,,,,,,,,,,Cherry Tomato & Basil Crostini,Sun-Kissed Veggie Pasta Salad,Classic Tomato Soup,Mediterranean Veggie Sandwich,Original Berry Açaí,Iced Latte,Mojito,"Authentic Fresh Basil, Mozzarella, & Tomato Sauce",Pesto Pasta,Classic Ramen Noodles,Biscoff Banana Pudding
2024-02-28 18:37:47,2024-02-28 18:39:28,IP Address,128.197.29.246,100,101,True,2024-02-28 18:39:28,R_5ML4AvNDL3UEfAY,,,,,42.3464,-71.0975,anonymous,EN,Female,24-29,3,,,,,,,,,,,,Dumplings,Sun-Kissed Veggie Pasta Salad,Broccoli Cheddar Soup,Golden Crisp Grilled Cheese Delight,Tropical Mango Açaí,Traditional Vietnamese Coffee,Mojito,Original New York Style Pizza,Creamy Crispy Pancetta & Aged Parmesan Pasta,Classic Ramen Noodles,Velvety Mini Cheesecake with a Graham Cracker Crust
2024-02-28 18:37:20,2024-02-28 18:40:08,IP Address,223.190.83.192,100,167,True,2024-02-28 18:40:09,R_4ixAELlTU1DBdjb,,,,,28.4597,77.0282,anonymous,EN,Male,24-29,3,,,,,,,,,,,,Garlic Bread,Kale Salad with Cranberries,Classic Tomato Soup,Mediterranean Veggie Sandwich,Tropical Mango Açaí,Iced Latte,Whiskey Sour,"Authentic Fresh Basil, Mozzarella, & Tomato Sauce",Pesto Pasta,Classic Ramen Noodles,Velvety Mini Cheesecake with a Graham Cracker Crust
2024-02-28 18:38:45,2024-02-28 18:40:26,IP Address,73.68.2.182,100,100,True,2024-02-28 18:40:26,R_1ogsXPhYI6obRhD,,,,,42.3498,-71.0765,anonymous,EN,Female,24-29,4,,,,,,,,,,,,Dumplings,Classic Potato Salad,Classic Tomato Soup,Golden Crisp Grilled Cheese Delight,Peanut Butter & Jam Açaí,Iced Latte,Espresso Martini,Original New York Style Pizza,Creamy Crispy Pancetta & Aged Parmesan Pasta,Crispy Stir-Fried Noodles with Soy Glaze,Classic Tiramisu
2024-02-28 18:35:25,2024-02-28 18:44:53,IP Address,204.8.153.51,100,568,True,2024-02-28 18:44:53,R_6ZVqo2kvhmMstnq,,,,,42.3464,-71.0975,anonymous,EN,Male,18-23,3,Classic Humus,Caesar Salad,Broccoli Cheddar Soup,Mediterranean Veggie Sandwich,The Almond Butter Açaí Bowl,Macchiato Iced Coffee,Whiskey Sour,Original New York Style Pizza,Pesto Pasta,Classic Ramen Noodles,Chocolate Mousse with Vanilla Ice-cream,,,,,,,,,,,
2024-02-28 18:45:08,2024-02-28 18:49:30,IP Address,110.235.239.151,100,261,True,2024-02-28 18:49:31,R_4ubaiVwQkp7cEsF,,,,,28.6542,77.2373,anonymous,EN,Male,30-36,1,,,,,,,,,,,,Garlic Bread,Classic Potato Salad,Classic Tomato Soup,Classic Shawarma Wrap,Tropical Mango Açaí,Bold Awakening Black Coffee,Dry Martini,Hawaiian Pizza,One-Pan Chicken Alfredo Penne,Classic Ramen Noodles,Velvety Mini Cheesecake with a Graham Cracker Crust
2024-02-28 18:52:49,2024-02-28 18:57:47,IP Address,198.0.188.214,100,297,True,2024-02-28 18:57:47,R_7oHeDYklvHEhAMU,,,,,42.3973,-71.0372,anonymous,EN,Male,24-29,3,Bruschetta,Classic Potato Salad,Bistro French Onion Soup,Original Grilled Chicken Sandwich,Tropical Mango Açaí,Macchiato Iced Coffee,Espresso Martini,Original New York Style Pizza,Pesto Pasta,Staple Pad Thai Noodles,Classic Tiramisu,,,,,,,,,,,
2024-02-28 19:00:10,2024-02-28 19:01:59,IP Address,110.224.113.239,100,109,True,2024-02-28 19:02:00,R_4yW8Olt8xpiI729,,,,,19.0748,72.8856,anonymous,EN,Male,18-23,4,Classic Humus,Pasta Salad,Classic Tomato Soup,Original Grilled Chicken Sandwich,Green Smoothie Bowl,Iced Latte,Whiskey Sour,Pepperoni & Cheese Pizza,Pesto Pasta,Staple Pad Thai Noodles,Biscoff Banana Pudding,,,,,,,,,,,
2024-02-28 18:58:00,2024-02-28 19:02:38,IP Address,14.102.66.197,100,277,True,2024-02-28 19:02:38,R_4PWuGKoS2aSG0St,,,,,25.4425,81.8517,anonymous,EN,Male,Above 40,3,Bruschetta,Caesar Salad,Broccoli Cheddar Soup,Classic Shawarma Wrap,Original Berry Açaí,Iced Latte,Mojito,Margherita,One-Pan Chicken Alfredo Penne,Classic Ramen Noodles,Classic Tiramisu,,,,,,,,,,,
2024-02-28 18:59:47,2024-02-28 19:02:45,IP Address,49.33.194.21,100,178,True,2024-02-28 19:02:46,R_4I6HaOG39t4ozqi,,,,,19.0748,72.8856,anonymous,EN,Female,18-23,2,Bruschetta,Kale Salad with Cranberries,Broccoli Cheddar Soup,Original Grilled Chicken Sandwich,Tropical Mango Açaí,Traditional Vietnamese Coffee,Mojito,Hawaiian Pizza,Pesto Pasta,Staple Pad Thai Noodles,Biscoff Banana Pudding,,,,,,,,,,,
2024-02-28 19:00:55,2024-02-28 19:05:14,IP Address,106.215.92.177,100,259,True,2024-02-28 19:05:14,R_44wVyFlygt3bd6S,,,,,28.652,77.1663,anonymous,EN,Female,18-23,3,,,,,,,,,,,,Garlic Bread,Classic Potato Salad,Rustic Farmstand Veggie Soup,Mediterranean Veggie Sandwich,Tropical Mango Açaí,Macchiato Iced Coffee,Mojito,"Authentic Fresh Basil, Mozzarella, & Tomato Sauce",Creamy Crispy Pancetta & Aged Parmesan Pasta,Crispy Stir-Fried Noodles with Soy Glaze,Lemon Pudding
2024-02-28 19:11:39,2024-02-28 19:12:42,IP Address,49.47.70.77,100,62,True,2024-02-28 19:12:42,R_41aTqZPi8vI2Pgu,,,,,28.6542,77.2373,anonymous,EN,Male,24-29,3,Classic Humus,Caesar Salad,Classic Tomato Soup,Grilled Cheese,Tropical Mango Açaí,Macchiato Iced Coffee,Espresso Martini,Hawaiian Pizza,Spaghetti Carbonara,Staple Pad Thai Noodles,Classic Tiramisu,,,,,,,,,,,
2024-02-28 19:09:15,2024-02-28 19:13:11,IP Address,42.111.104.13,100,235,True,2024-02-28 19:13:12,R_4RlKbhz9AOsZ3GO,,,,,19.0748,72.8856,anonymous,EN,Male,18-23,3,Garlic Bread,Classic Potato Salad,Slow-Cooker Vegetable Soup,Classic Shawarma Wrap,Tropical Mango Açaí,Iced Latte,Mojito,Barbecue Chicken Pizza,One-Pan Chicken Alfredo Penne,Classic Ramen Noodles,Chocolate Mousse with Vanilla Ice-cream,,,,,,,,,,,
